mapName,roundNum,ctScore,tScore,ctTeam,tTeam,ctFreezeTimeEndEqVal,ctRoundStartEqVal,ctBuyType,tFreezeTimeEndEqVal,tRoundStartEqVal,tBuyType,winnerSide
de_inferno,10,4,5,Astralis W,NIP,8400,5450,Semi Eco,27750,16150,Full Buy,0
de_anubis,5,2,2,Strife,Mach 5,1600,1000,Full Eco,23450,9700,Full Buy,0
de_inferno,11,2,8,Furious,W7M Academy,28750,17450,Full Buy,27050,6750,Full Buy,1
de_nuke,36,18,17,BIG,paiN,33150,12850,Full Buy,27450,9000,Full Buy,0
de_ancient,17,8,8,Nixuh,DNMK,10500,2350,Semi Buy,20400,1000,Full Buy,1
de_ancient,31,13,15,Team 7AM NA,timbermen,29350,1000,Full Buy,27450,10650,Full Buy,1
de_overpass,9,1,7,Eternal Fire AC,9 Pandas Esport,27100,1000,Full Buy,28550,20650,Full Buy,1
de_nuke,1,0,0,BHOP Esports,paiN Gaming,4000,1000,Full Eco,4700,1000,Full Eco,0
de_mirage,27,15,11,The MongolZ,Imperial Sportsbet,1000,1000,Full Eco,28650,22250,Full Buy,0
de_vertigo,3,2,0, PROSPECTS,Young Ninjas,25850,16350,Full Buy,23500,1000,Full Buy,1
de_inferno,21,15,5,joker,NoVum,28350,1000,Full Buy,20200,1000,Full Buy,0
de_mirage,9,5,3,BIG OMENAcademy,yologang420,22900,1000,Full Buy,27750,16250,Full Buy,0
de_nuke,18,2,15,ClayMakers,Party Astronauts,8300,1000,Semi Eco,20350,3800,Full Buy,0
de_inferno,28,15,12,The MongolZ,Imperial Sportsbet,27050,1000,Full Buy,24650,7050,Full Buy,1
de_anubis,28,13,14,paiN,Cloud9,31050,16800,Full Buy,25300,16700,Full Buy,0
de_nuke,7,1,5,Wildcard,Take Flyte,27900,1000,Full Buy,24650,17200,Full Buy,1
de_vertigo,16,4,11,Party Astronauts,Strife,1000,1000,Full Eco,1000,1000,Full Eco,1
de_nuke,9,2,6,Ocelot Sports,eMasters,26350,11550,Full Buy,22100,1000,Full Buy,0
de_anubis,25,12,12,yologang420,BIG OMENAcademy,24450,1000,Full Buy,27350,16450,Full Buy,0
de_nuke,5,4,0,9 Pandas Esport,Entropiq,30650,26050,Full Buy,15600,9500,Semi Buy,0
de_mirage,17,4,12,Fluxo,9z Team,1000,1000,Full Eco,19450,2300,Semi Buy,0
de_mirage,23,14,8,SELECAO,Team Solid,30900,11750,Full Buy,24900,1000,Full Buy,1
de_nuke,9,3,5,Fluxo,9z Team,26650,1000,Full Buy,27450,15050,Full Buy,0
de_inferno,5,3,1,PGE Turów,Illuminar Gaming,27900,12450,Full Buy,24000,8400,Full Buy,1
de_mirage,22,12,9,9 Pandas Esport,iNation,29950,9700,Full Buy,25200,12100,Full Buy,1
de_vertigo,26,13,12,Nexus,Ignis Serpens,9800,1000,Semi Eco,25100,13400,Full Buy,0
de_ancient,9,6,2,EX-HNRS,Viperio,29750,19700,Full Buy,8050,1000,Semi Eco,1
de_mirage,18,7,10,Nixuh,Bravado Gaming,24000,1000,Full Buy,22200,12000,Full Buy,0
de_inferno,17,10,6,NAVI,BIG,18300,2700,Semi Buy,10500,1000,Semi Buy,1
de_mirage,19,13,5,BocaJrsGaming,W7M Academy,30050,10100,Full Buy,5450,1000,Semi Eco,1
de_nuke,18,14,3,EX-HNRS,Viperio,22850,19150,Full Buy,22450,1000,Full Buy,1
de_ancient,8,0,7,B4 Demons,WINDINGOgg,29750,6600,Full Buy,27450,20150,Full Buy,0
de_inferno,11,7,3,Take Flyte,Party Astronauts,11750,11150,Semi Buy,27750,23350,Full Buy,1
de_ancient,4,0,3,WITHOUTWARNING,MIBR,26500,1000,Full Buy,24800,12500,Full Buy,1
de_ancient,8,4,3,Spirit,Aurora_,25800,1000,Full Buy,22700,7250,Full Buy,1
de_inferno,24,13,10,HEET,Into The Win,29550,1000,Full Buy,22600,6950,Full Buy,1
de_mirage,5,2,2,atputies,wolsung,1600,1000,Full Eco,26000,5600,Full Buy,0
de_ancient,9,4,4,Snakes Den,Party Astronauts,27050,9450,Full Buy,16100,1000,Semi Buy,1
de_overpass,19,4,14,Party Astronauts,Nouns Esports,29650,10000,Full Buy,16900,1000,Semi Buy,1
de_vertigo,27,11,15,KS,Endpoint CeX,22100,5400,Full Buy,27650,11550,Full Buy,1
de_inferno,26,15,10,DomiNation,fightclub,24250,8950,Full Buy,26400,19500,Full Buy,0
de_ancient,1,0,0,timbermen,Team 7AM NA,4050,1000,Full Eco,4350,1000,Full Eco,1
